product_name,product_price,minimum_order,seller_years_on_alibaba,seller_name,seller_response_rate,transaction_level,product_link,search_text
For Samusng S9 Wireless Bluetooth 4.0 Neckband Sports Stereo Bluetooth Earphones Headphones,$2.35-$2.50,100 Pieces,,,79.1%,3,https://www.alibaba.com/product-detail/For-Samusng-S9-Wireless-Bluetooth-4_60422939344.html,headphones 
"Sabbat Headphone, mini double earring sport mobile headset, wireless earphone",$30.00-$39.00,1 Piece,,,90.3%,2.5,https://www.alibaba.com/product-detail/Sabbat-Headphone-mini-double-earring-sport_60795773145.html,headphones 
Global Original Xiaomi MI Collar headphones,$37.80-$42.00,5 Pieces,,,86.4%,3.5,https://www.alibaba.com/product-detail/Global-Original-Xiaomi-MI-Collar-headphones_60781991691.html,headphones 
"Best design S530 wireless earphone blue tooth headset/headphone,hands free earphone,headphone for apple",$0.78-$3.02,10 Pieces,,,91.3%,3,https://www.alibaba.com/product-detail/Best-design-S530-wireless-earphone-blue_60694846093.html,headphones 
"i12 TWS Amazon Top Seller 2019 Wireless Earphone Stereo Generic Wireless Headphones,Bluetooth Headset",$17.42-$19.70,50 Pieces,,,84.7%,2.5,https://www.alibaba.com/product-detail/i12-TWS-Amazon-Top-Seller-2019_60820627125.html,headphones 
"H21 Wireless Headphone, Sport Bluetooth Headset with IPX5 Sweatproof Built-in Mic 8 Hours Playing for Gym Running Workout",$3.90-$5.50,10 Pieces,,,94.9%,3,https://www.alibaba.com/product-detail/H21-Wireless-Headphone-Sport-Bluetooth-Headset_60772291930.html,headphones 
Baseus Encok W02 Wireless Earphone Bluetooth Headphones For Phone,$18.76,5 Pairs,,,95.8%,3.5,https://www.alibaba.com/product-detail/Baseus-Encok-W02-Wireless-Earphone-Bluetooth_60788857124.html,headphones 
I12 Cellphone Wireless bluetooth earphones headphones for all mobile phone earpiece wireless bluetooth headset,$16.24-$17.46,5 Units,,,97.3%,3,https://www.alibaba.com/product-detail/I12-Cellphone-Wireless-bluetooth-earphones-headphones_62033752884.html,headphones 
"Top selling bluetooth Headphone, 5 star bluetooth i7 earphone headset",$18.00-$21.80,4 Pieces,,,99.0%,3,https://www.alibaba.com/product-detail/Top-selling-bluetooth-Headphone-5-star_60793852741.html,headphones 
New Y-12 Stereo Wireless bluetooths 4.1 earphone earhook bone conduction headphones No Ear Plugs Headset with Microphone,$2.16-$2.44,30 Pieces,,,94.0%,3.5,https://www.alibaba.com/product-detail/New-Y-12-Stereo-Wireless-bluetooths_60808874144.html,headphones 
"Bluetooth Headset, Wireless Earphones V5.0 Lightweight Sweatproof Headphones with In-ear Earbuds, Noise Cancelling Mic and Hands",$15.00-$21.21,2 Pieces,,,86.8%,2.5,https://www.alibaba.com/product-detail/Bluetooth-Headset-Wireless-Earphones-V5-0_60780643879.html,headphones 
Bluetooth Over Ear Rohs Earphones Free Shipping Noise-Canceling Headphones,$7.90-$9.20,1 Piece,,,88.4%,3.5,https://www.alibaba.com/product-detail/Bluetooth-Over-Ear-Rohs-Earphones-Free_62001341538.html,headphones 
Wholesale cheap Gaming Headphones and Headset with Computer good listen the music,$2.40-$3.20,20 Pieces,,,95.4%,2.5,https://www.alibaba.com/product-detail/Wholesale-cheap-Gaming-Headphones-and-Headset_1706813691.html,headphones 
"Wireless 4.1 Sports Wireless Headset, Earphone ,Wireless Bone Conduction Headphone LF20",$14.99-$19.99,1 Piece,,,80.9%,3,https://www.alibaba.com/product-detail/Wireless-4-1-Sports-Wireless-Headset_60689421257.html,headphones 
2019 Trending Sweatproof Swimming Wireless Blue Headset 4.2 Sports Waterproof Headset Earphone Headphones,$1.05-$2.45,50 Pieces,,,82.0%,3,https://www.alibaba.com/product-detail/2019-Trending-Sweatproof-Swimming-Wireless-Blue_62041358645.html,headphones 
"Wholesale consumer electronics, high-end wired real wooden headphones",$7.88,1 Piece,,,55.1%,3,https://www.alibaba.com/product-detail/Wholesale-consumer-electronics-high-end-wired_60835606354.html,headphones 
"Most popular newest wired Headphones,sport wired headset,stereo wired headphones",$1.24-$1.49,3000 Pieces,,,,2.5,https://www.alibaba.com/product-detail/Most-popular-newest-wired-Headphones-sport_60802437835.html,headphones 
Y-12 Bone Conduction Headset Ear-Hook Wireless Headphones Non Ear Plug Blue tooth Headset with Mic,$1.70-$2.20,50 Pieces,,,75.4%,2.5,https://www.alibaba.com/product-detail/Y-12-Bone-Conduction-Headset-Ear_60826370858.html,headphones 
Customizable Logo Wireless Headphone Over Ear Noise Cancelling Stereo Wireless Headset Wireless 4.1 Headphone with Microphone,$7.20-$7.92,50 Pieces,,,96.2%,3,https://www.alibaba.com/product-detail/Customizable-Logo-Wireless-Headphone-Over-Ear_60746577983.html,headphones 
New Arrival CE RoHS IPX7 Waterproof Wireless Earphone Headphone,$5.01-$29.01,20 Pieces,,,93.0%,3,https://www.alibaba.com/product-detail/New-Arrival-CE-RoHS-IPX7-Waterproof_62001135024.html,headphones 
"Custom logo glowing stereo headphones, computer gaming headset with microphone",$3.60-$4.80,500 Pieces,,,94.8%,3,https://www.alibaba.com/product-detail/Custom-logo-glowing-stereo-headphones-computer_60839827931.html,headphones 
Mini Bluetooth 4.1 Wireless Running Stereo Headphone With Mic Sports Earphone,$6.17-$6.94,10 Pieces,,,100.0%,3,https://www.alibaba.com/product-detail/Mini-Bluetooth-4-1-Wireless-Running_60822447223.html,headphones 
i7 i7s TWS Wireless Bluetooth Earphones In-Ear Music Earbuds Set Stereo Headset headphones for iphone X 6s 7 8,$6.37,2 Pieces,,,95.1%,3,https://www.alibaba.com/product-detail/i7-i7s-TWS-Wireless-Bluetooth-Earphones_62063282491.html,headphones 
"Wired headband gamer stereo headset headphone factory, the headset of made in china",$5.30-$5.60,10 Pieces,,,71.4%,2.5,https://www.alibaba.com/product-detail/Wired-headband-gamer-stereo-headset-headphone_60659343073.html,headphones 
Original Xiaomi Redmi AirDots wireless headphones blue tooth headset,$23.30-$27.00,1 Piece,,,90.4%,3,https://www.alibaba.com/product-detail/Original-Xiaomi-Redmi-AirDots-wireless-headphones_62068284418.html,headphones 
